elapsed_time_seconds,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,value_1
1616,-0.018475427,0.432329718,-0.126797673,18.57677471
1662,-0.018475427,0.432329718,-0.126797673,10.4246117
1717,-0.018475427,0.432329718,-0.126797673,9.482593637
1746,-0.018475427,0.432329718,-0.126797673,6.277038335
1772,-0.018475427,0.432329718,-0.126797673,4.869871269
1817,-0.018475427,0.432329718,-0.126797673,6.11245149
1954,0.084058114,0.627743182,-0.126797673,14.57174111
2013,-0.241770696,0.322898178,-0.126797673,14.21589744
2038,-0.241770696,0.322898178,-0.673381264,15.17182607
2086,-0.241770696,0.322898178,-1.037770325,11.65008896
2162,-0.241770696,0.322898178,-1.298048225,9.947398001
2238,-0.241770696,0.322898178,-1.298048225,9.405904399
2264,-0.241770696,0.322898178,-1.298048225,7.146314595
2306,-0.241770696,0.322898178,-1.298048225,10.56653646
2334,-0.241770696,0.322898178,-1.298048225,7.671549856
2369,-0.241770696,0.322898178,-1.298048225,11.95429842
2401,-0.241770696,0.322898178,-1.298048225,7.572069033
2433,-0.241770696,0.322898178,-1.298048225,9.689133877
2483,-0.241770696,0.322898178,-1.298048225,5.01538989
2551,-0.241770696,0.322898178,-1.298048225,9.91854493
2598,-0.241770696,0.322898178,-1.298048225,13.574523
2639,-0.241770696,0.322898178,-1.298048225,11.38089683
2669,-0.241770696,0.322898178,-1.298048225,8.704145163
2824,-0.526870904,0.056158799,-1.298048225,13.28887805
2847,-0.778429912,-0.179199476,-1.298048225,15.22733473
2872,-0.656461908,0.006762618,-1.298048225,17.68838325
2897,-0.547332642,0.173149755,-1.298048225,19.79656914
2957,-0.547332642,0.173149755,-1.298048225,9.929476195
2978,-0.547332642,0.173149755,-1.298048225,6.221303302
3014,-0.547332642,0.173149755,-1.298048225,5.17434585
3070,-0.547332642,0.173149755,-1.298048225,8.059553266
3114,-0.547332642,0.173149755,-1.298048225,11.092068
3141,-0.547332642,0.173149755,-1.298048225,6.258509436
3186,-0.547332642,0.173149755,-1.298048225,8.866918187
3251,-0.547332642,0.173149755,-1.298048225,14.11345479
3296,-0.449116302,0.322898178,-1.298048225,12.88322994
3320,-0.360253899,0.458384847,-1.298048225,16.32900928
3350,-0.279469897,0.581554545,-1.298048225,16.42569699
3428,-0.279469897,0.581554545,-0.810027162,19.82437955
3562,-0.279469897,0.581554545,-0.810027162,8.603553008
3617,-0.279469897,0.581554545,-0.810027162,12.34522916
3641,-0.279469897,0.581554545,-0.810027162,8.019281191
3681,-0.279469897,0.581554545,-0.810027162,5.617793287
3725,-0.279469897,0.581554545,-0.810027162,8.941602384
3774,-0.279469897,0.581554545,-0.810027162,10.8438701
3830,-0.279469897,0.581554545,-0.810027162,7.585859223
3861,-0.279469897,0.581554545,-0.810027162,7.625033468
3938,-0.20571059,0.694013835,-0.810027162,11.25613126
3976,-0.138097893,0.797101518,-0.810027162,17.13778327
4006,-0.138097893,0.797101518,-1.037770325,18.70164772
4062,-0.075894211,0.607420182,-1.037770325,15.55862438
4106,-0.018475427,0.432329718,-1.037770325,14.24761047
4159,0.034690113,0.533655218,-1.037770325,10.79049262
4224,0.034690113,0.533655218,-1.219964855,13.60493667
4290,0.084058114,0.627743182,-1.219964855,8.945447866
4328,0.130021426,0.715342321,-1.219964855,14.30215265
4357,-0.034425089,0.559999848,-1.219964855,16.85800268
4488,-0.034425089,0.559999848,-1.219964855,11.51738285
4527,-0.034425089,0.559999848,-1.219964855,11.71002549
4555,-0.034425089,0.559999848,-1.219964855,8.369888033
4613,-0.034425089,0.559999848,-1.219964855,13.98650089
4642,-0.034425089,0.559999848,-1.219964855,8.290893429
4668,-0.034425089,0.559999848,-1.219964855,7.775537844
4710,-0.034425089,0.559999848,-1.219964855,12.1300623
4741,-0.034425089,0.559999848,-1.219964855,8.984632995
4797,0.012394886,0.41467947,-1.219964855,11.83988243
4831,0.056288613,0.50072443,-1.219964855,12.03419478
4866,0.097522115,0.581554545,-1.219964855,15.28250698
4901,-0.04662189,0.448422591,-1.219964855,16.41158763
4935,-0.004804288,0.322898178,-1.219964855,15.70901807
4966,-0.004804288,0.322898178,-1.369033107,12.16323993
5038,-0.004804288,0.322898178,-1.493256651,12.65516679
5101,0.034690113,0.401932068,-1.493256651,9.078505948
5132,0.072049681,0.476693856,-1.493256651,13.59816648
5177,0.107442957,0.360335284,-1.493256651,16.10518729
5219,0.107442957,0.360335284,-1.59836888,11.39939824
5308,0.141021193,0.249943818,-1.59836888,10.56452179
5429,0.141021193,0.249943818,-1.59836888,8.260932855
5448,0.141021193,0.249943818,-1.59836888,5.610851663
5481,0.141021193,0.249943818,-1.59836888,4.255098032
5519,0.141021193,0.249943818,-1.59836888,3.08950661
5565,0.172920517,0.145071926,-1.59836888,13.03420099
5591,0.051547479,0.045315735,-1.59836888,11.10407633
5617,0.051547479,0.045315735,-1.298048225,13.26322801
5656,0.084058114,0.119668175,-1.298048225,16.31215841
5682,0.115056627,0.190562362,-1.298048225,17.9394789
5788,0.115056627,0.190562362,-1.298048225,11.0082545
5817,0.115056627,0.190562362,-1.298048225,9.654487519
5881,0.115056627,0.190562362,-1.298048225,8.799587263
5923,0.115056627,0.190562362,-1.298048225,8.132519203
5963,0.115056627,0.190562362,-1.298048225,5.721392121
5996,0.115056627,0.190562362,-1.298048225,9.422290795
6044,0.003274112,0.096573857,-1.298048225,11.3807944
6070,0.034690113,0.164830398,-1.298048225,14.98074564
6099,0.034690113,0.164830398,-1.402159385,17.7280672
6142,0.064740201,0.230119264,-1.402159385,14.16595924
6195,0.064740201,0.230119264,-1.151641906,15.50222425
6324,0.064740201,0.230119264,-1.151641906,10.14353336
6359,0.064740201,0.230119264,-1.151641906,5.834372938
6398,0.064740201,0.230119264,-1.151641906,6.075979357
6437,0.064740201,0.230119264,-1.151641906,6.447301093
6492,0.093511561,0.29262988,-1.151641906,12.87795408
7445,0.093511561,0.29262988,-1.151641906,8.378799716
7490,0.093511561,0.29262988,-1.151641906,6.248467575
7538,0.093511561,0.29262988,-1.151641906,12.11387099
7622,0.093511561,0.29262988,-1.151641906,9.03997932
7647,0.093511561,0.29262988,-1.151641906,8.502530609
7721,0.121084115,0.204347343,-1.151641906,13.6378931
7768,0.147531259,0.264832463,-1.151641906,12.27792251
7800,0.147531259,0.264832463,-0.930597072,10.95928599
7855,0.172920517,0.180637176,-0.930597072,16.82934069
7895,0.197314118,0.099743665,-0.930597072,13.96702651
7935,0.101147038,0.021961443,-0.930597072,12.049468
7973,0.101147038,0.021961443,-1.037770325,13.88512435
8018,0.125974342,0.081322892,-1.037770325,9.823046689
8048,0.149882116,0.138485768,-1.037770325,12.26314998
8148,0.172920517,0.193569994,-1.037770325,13.16218194
8175,0.195136118,0.246686927,-1.037770325,17.51427494
8218,0.195136118,0.246686927,-1.037770325,8.907505169
8266,0.195136118,0.246686927,-1.037770325,7.966537529
8296,0.195136118,0.246686927,-1.037770325,7.143601
8333,0.195136118,0.246686927,-1.037770325,6.241128138
8379,0.195136118,0.246686927,-1.037770325,10.42573458
8427,0.195136118,0.246686927,-1.037770325,8.831998456
8566,0.195136118,0.246686927,-1.133662183,11.43185144
8616,0.216572223,0.173149755,-1.133662183,9.879260985
8661,0.216572223,0.173149755,-0.94667306,6.673538984
8730,0.237269153,0.102148347,-0.94667306,11.8676765
8759,0.257264492,0.033553767,-0.94667306,10.8985492
8805,0.257264492,0.033553767,-0.94667306,10.31122907
8829,0.257264492,0.033553767,-0.94667306,7.690338739
8855,0.257264492,0.033553767,-0.94667306,4.06039987
8939,0.257264492,0.033553767,-0.94667306,3.947452285
9063,0.257264492,0.033553767,-1.037770325,12.16500198
9121,0.172920517,-0.032754327,-1.037770325,10.03550722
9144,0.172920517,-0.032754327,-0.872138934,13.86759173
9181,0.172920517,-0.032754327,-0.958555312,15.83228956
9244,0.172920517,-0.032754327,-0.810027162,12.73104181
9286,0.193315167,0.019718994,-0.810027162,16.39737944
9322,0.193315167,0.019718994,-0.810027162,9.077011282
9346,0.193315167,0.019718994,-0.810027162,7.51529729
9375,0.193315167,0.019718994,-0.810027162,3.481582638
9414,0.193315167,0.019718994,-0.810027162,2.176285001
9529,0.213051925,0.070499626,-0.810027162,12.6610219
9549,0.232162119,0.006762618,-0.810027162,13.59955534
9579,0.250675119,0.056158799,-0.810027162,11.12321708
9634,0.268618489,-0.005396442,-0.810027162,16.09103188
9688,0.28601812,-0.065086373,-0.810027162,11.66271435
9727,0.210057043,-0.122994515,-0.810027162,11.98289353
9755,0.136330116,-0.179199476,-0.810027162,12.44952678
9782,0.064740201,-0.233775308,-0.810027162,17.29987683
9827,0.064740201,-0.233775308,-0.810027162,9.84146617
9870,0.064740201,-0.233775308,-0.810027162,7.195754636
9905,0.064740201,-0.233775308,-0.810027162,3.71117018
9958,0.064740201,-0.233775308,-0.810027162,4.029678889
9989,0.064740201,-0.233775308,-0.810027162,8.218455529
10157,0.064740201,-0.233775308,-0.892014701,10.90849708
10203,0.064740201,-0.233775308,-0.757471047,9.445191627
10248,-0.004804288,-0.28679183,-0.757471047,11.76779163
10272,0.015221042,-0.238131125,-0.757471047,16.79692548
10300,-0.05170389,-0.289614469,-0.757471047,19.17964537
10355,-0.05170389,-0.289614469,-0.757471047,10.35985172
10443,-0.05170389,-0.289614469,-0.757471047,10.22425359
10483,-0.05170389,-0.289614469,-0.757471047,12.47769945
10553,-0.05170389,-0.289614469,-0.757471047,9.580402925
10629,-0.116795262,-0.33968731,-0.757471047,12.50292295
10666,-0.116795262,-0.33968731,-0.835331958,16.11449513
10712,-0.096068378,-0.292284533,-0.835331958,11.92520467
10755,-0.075894211,-0.24614583,-0.835331958,15.49965362
10788,-0.056250943,-0.294814067,-0.835331958,15.67249965
10840,-0.056250943,-0.294814067,-0.907631375,14.4593201
10907,-0.037117889,-0.342218195,-0.907631375,12.2951848
10945,-0.098223737,-0.388406832,-0.907631375,10.76710676
11007,-0.079043764,-0.343387527,-0.907631375,13.66182415
11046,-0.06034329,-0.388406832,-0.907631375,15.9517688
11136,-0.042104556,-0.432314548,-0.907631375,15.5616721
11176,-0.042104556,-0.432314548,-0.974944625,11.42830274
11229,-0.100168818,-0.475151345,-0.974944625,9.324262054
11258,-0.100168818,-0.475151345,-0.855575795,12.84079423
11342,-0.081889746,-0.51695593,-0.855575795,16.21628732
11395,-0.06404589,-0.473085999,-0.855575795,12.14230312
11427,-0.04662189,-0.430248303,-0.855575795,15.75481167
11554,-0.04662189,-0.430248303,-0.855575795,9.522697339
11571,-0.04662189,-0.430248303,-0.855575795,6.842172062
11627,-0.04662189,-0.430248303,-0.855575795,11.54676349
11647,-0.04662189,-0.430248303,-0.855575795,16.05649883
11684,-0.04662189,-0.430248303,-0.855575795,10.13203266
11712,-0.04662189,-0.430248303,-0.855575795,10.55642668
11753,-0.04662189,-0.430248303,-0.855575795,4.027051579
11818,-0.029603099,-0.388406832,-0.855575795,11.22097904
11842,-0.012975544,-0.42928643,-0.855575795,14.97633765
11875,-0.012975544,-0.42928643,-0.743908179,10.51735883
11924,0.003274112,-0.388406832,-0.743908179,15.28654083
11953,0.019158607,-0.428367787,-0.743908179,17.89369094
11986,0.034690113,-0.467440722,-0.743908179,13.97822362
12021,0.049880267,-0.427489525,-0.743908179,13.92276221
12054,-0.002872497,-0.465722594,-0.743908179,14.92206041
12235,-0.002872497,-0.465722594,-0.743908179,9.033611266
12303,-0.002872497,-0.465722594,-0.743908179,8.769887479
12328,-0.002872497,-0.465722594,-0.743908179,6.794902959
12422,0.012394886,-0.503133446,-0.743908179,13.0195809
12536,0.027337432,-0.464077577,-0.743908179,8.190509384
12561,0.041965397,-0.500718149,-0.743908179,12.00256374
12594,0.056288613,-0.462501104,-0.743908179,8.698854973
12631,0.070316506,-0.498402452,-0.743908179,12.69690506
12747,0.070316506,-0.498402452,-0.743908179,9.095187452
12781,0.070316506,-0.498402452,-0.743908179,5.894089054
12864,0.070316506,-0.498402452,-0.743908179,6.323029524
12893,0.070316506,-0.498402452,-0.743908179,5.599511138
12932,0.084058114,-0.460988976,-0.743908179,10.82441025
12954,0.097522115,-0.496180318,-0.743908179,15.23772792
12986,0.048513153,-0.530667834,-0.743908179,11.19594444
13012,0.06206247,-0.49404619,-0.743908179,13.83332254
13041,0.06206247,-0.49404619,-0.63921979,16.22364666
13172,0.06206247,-0.49404619,-0.63921979,8.613139088
13214,0.06206247,-0.49404619,-0.63921979,5.114547166
13260,0.06206247,-0.49404619,-0.63921979,5.795927197
13292,0.06206247,-0.49404619,-0.63921979,9.046347313
13336,0.06206247,-0.49404619,-0.63921979,6.24978877
13368,0.06206247,-0.49404619,-0.63921979,7.870299704
13429,0.06206247,-0.49404619,-0.63921979,11.84104587
13463,0.06206247,-0.49404619,-0.63921979,6.484025717
13510,0.075346114,-0.458142617,-0.63921979,11.54589489
13548,0.075346114,-0.458142617,-0.706507543,13.49217358
13588,0.088371823,-0.422936201,-0.706507543,13.24376975
13635,0.101147038,-0.456801544,-0.706507543,14.3483705
13671,0.101147038,-0.456801544,-0.769837192,12.44136565
13738,0.101147038,-0.456801544,-0.829548005,11.05254252
13855,0.101147038,-0.456801544,-0.829548005,8.728221479
13912,0.101147038,-0.456801544,-0.829548005,12.69552032
13950,0.101147038,-0.456801544,-0.829548005,8.259830621
14005,0.101147038,-0.456801544,-0.829548005,8.505166252
14041,0.101147038,-0.456801544,-0.829548005,9.740862512
14102,0.101147038,-0.456801544,-0.829548005,12.44925403
14134,0.101147038,-0.456801544,-0.829548005,11.97860185
14171,0.101147038,-0.456801544,-0.829548005,6.510601807
0,-4.803374034,-3.94493188,-2.859715628,16.26217076
36,1.416994155,3.168118217,-2.859715628,15.65121456
58,1.416994155,3.168118217,-0.126797673,14.66419589
112,1.416994155,3.168118217,-1.037770325,17.25883356
192,1.416994155,3.168118217,-1.037770325,14.3239166
217,1.416994155,3.168118217,-1.037770325,16.30947217
241,1.416994155,3.168118217,-1.493256651,17.52414372
285,1.416994155,3.168118217,-1.493256651,14.89446097
308,1.416994155,1.745508197,-1.493256651,18.1593782
342,0.380266123,0.797101518,-1.493256651,14.30221757
367,0.380266123,0.797101518,-0.673381264,15.98735727
446,0.380266123,0.797101518,-0.673381264,13.00059718
472,0.380266123,0.797101518,-0.673381264,7.77884739
513,0.380266123,0.797101518,-0.673381264,8.101037797
540,0.380266123,0.797101518,-0.673381264,5.707031025
578,0.528370128,1.135818189,-0.673381264,13.4009695
600,0.528370128,1.135818189,-1.037770325,14.80757709
646,0.639448131,1.389855693,-1.037770325,13.75394656
673,0.725842134,1.587440417,-1.037770325,17.19861774
700,0.725842134,1.587440417,-0.517214524,17.96780462
851,0.725842134,1.587440417,-0.517214524,12.21010972
882,0.725842134,1.587440417,-0.517214524,11.99007243
909,0.725842134,1.587440417,-0.517214524,8.312399973
954,0.725842134,1.587440417,-0.517214524,11.22459709
990,0.725842134,1.587440417,-0.517214524,9.211470633
1023,0.725842134,1.587440417,-0.810027162,14.30846373
1058,0.794957336,1.745508197,-0.810027162,17.53063106
1079,0.794957336,1.745508197,-1.037770325,19.08180673
1122,0.28601812,1.228195463,-1.037770325,16.37713443
1147,0.380266123,1.389855693,-1.037770325,17.84929175
1246,0.380266123,1.389855693,-1.037770325,11.65114401
1280,0.380266123,1.389855693,-1.037770325,6.729409519
1338,0.380266123,1.389855693,-1.037770325,13.38823921
1362,0.380266123,1.389855693,-1.037770325,10.40604178
1384,0.380266123,1.389855693,-1.037770325,8.993872639
1428,0.460014433,1.526645117,-1.037770325,13.28286715
1450,0.084058114,1.135818189,-1.037770325,16.20479296
1472,0.172920517,1.271304858,-1.037770325,19.29990924
1496,-0.138097893,0.945290061,-1.037770325,21.4907161
1603,-0.138097893,0.945290061,-1.037770325,12.15414906
1639,-0.138097893,0.945290061,-1.037770325,14.66501409
1666,-0.138097893,0.945290061,-1.037770325,12.75711852
1709,-0.138097893,0.945290061,-1.037770325,13.03066293
1762,-0.138097893,0.945290061,-1.037770325,14.14639335
1822,-0.138097893,0.945290061,-1.219964855,12.12802885
1861,-0.04662189,1.076044659,-1.219964855,12.87298671
1886,0.034690113,0.797101518,-1.219964855,15.4262015
1915,0.107442957,0.92189187,-1.219964855,12.29747026
1943,0.172920517,1.034203188,-1.219964855,14.0211032
1970,0.232162119,1.135818189,-1.219964855,17.28238833
2102,0.232162119,1.135818189,-1.219964855,11.64037636
2126,0.232162119,1.135818189,-1.219964855,10.12720853
2154,0.232162119,1.135818189,-1.219964855,7.13511446
2183,0.232162119,1.135818189,-1.219964855,6.273539058
2244,0.28601812,1.228195463,-1.219964855,14.80342362
2272,0.335190991,1.312539931,-1.219964855,16.80123972
2341,0.335190991,1.312539931,-0.872138934,15.28406351
2382,0.121084115,1.093478605,-0.872138934,17.46832405
2414,0.121084115,1.093478605,-0.872138934,11.4527977
2438,0.121084115,1.093478605,-0.872138934,8.887256743
2456,0.121084115,1.093478605,-0.872138934,4.693683272
2473,0.121084115,1.093478605,-0.872138934,3.255381513
2580,-0.075894211,0.891942186,-0.872138934,10.47572548
2602,-0.075894211,0.891942186,-0.582283999,13.40139165
2649,-0.075894211,0.891942186,-0.337022131,18.52665132
2685,-0.018475427,0.979487418,-0.337022131,20.30228425
2722,-0.018475427,0.979487418,-0.337022131,10.51049626
2764,-0.018475427,0.979487418,-0.337022131,9.5793042
2799,-0.018475427,0.979487418,-0.337022131,7.984263849
2833,-0.018475427,0.979487418,-0.337022131,6.384381718
2936,-0.018475427,0.979487418,-0.517214524,12.27269634
2977,-0.018475427,0.979487418,-0.308992204,10.41392038
3025,0.034690113,1.060547818,-0.308992204,14.17444959
3064,-0.138097893,0.881780686,-0.308992204,17.55429035
3087,-0.084474029,0.960619911,-0.308992204,18.47265453
3127,-0.084474029,0.960619911,-0.308992204,12.21515951
3157,-0.084474029,0.960619911,-0.308992204,9.498996755
3184,-0.084474029,0.960619911,-0.308992204,6.882646934
3202,-0.084474029,0.960619911,-0.308992204,4.438682739
3362,-0.034425089,1.034203188,-0.308992204,12.57198336
3382,0.012394886,0.873585927,-0.308992204,16.70692236
3407,0.012394886,0.873585927,-0.126797673,11.93294223
3463,0.056288613,0.945290061,-0.126797673,16.54424673
3494,0.056288613,0.945290061,-0.287557553,17.07436772
3550,0.056288613,0.945290061,-0.126797673,14.73736504
3608,0.056288613,0.945290061,-0.126797673,10.81169717
3690,0.056288613,0.945290061,-0.126797673,11.15657039
3739,0.056288613,0.945290061,-0.126797673,9.08509611
6543,0.056288613,0.945290061,-0.126797673,12.42122667
6567,0.056288613,0.945290061,-0.126797673,8.476386897
6661,0.056288613,0.945290061,0.017040114,11.98946882
6700,0.097522115,1.01264849,0.017040114,14.50837241
6737,0.097522115,1.01264849,-0.126797673,19.04665856
6786,0.136330116,1.076044659,-0.126797673,16.218618
6875,-0.004804288,0.932588186,-0.126797673,17.213125
6912,-0.004804288,0.932588186,-0.126797673,9.302510526
6967,-0.004804288,0.932588186,-0.126797673,9.95456851
6988,-0.004804288,0.932588186,-0.126797673,7.382447236
7014,-0.004804288,0.932588186,-0.126797673,6.637298409
7112,0.034690113,0.994686243,-0.126797673,12.11597906
7143,0.072049681,0.86118305,-0.126797673,15.89306675
7172,0.107442957,0.92189187,-0.126797673,12.57757136
7216,0.141021193,0.979487418,-0.126797673,16.22473249
7301,0.141021193,0.979487418,-0.126797673,11.72281459
7885,0.172920517,1.034203188,-0.126797673,12.35735062
7906,0.172920517,1.034203188,0.003341277,15.48963138
7940,0.203263776,1.086249896,0.003341277,18.43697619
7979,0.232162119,0.966459853,0.003341277,20.08035687
8025,0.259716352,0.852241441,0.003341277,17.85220288
8078,0.28601812,0.904875004,0.003341277,15.25384371
8136,0.28601812,0.904875004,0.003341277,11.00494331
8158,0.28601812,0.904875004,0.003341277,14.42260622
8182,0.28601812,0.904875004,0.003341277,10.61270659
8210,0.28601812,0.904875004,0.003341277,7.583586143
8242,0.28601812,0.904875004,0.003341277,5.074150145
8316,0.28601812,0.904875004,-0.126797673,13.36967442
8404,0.311150921,0.797101518,-0.126797673,12.05875854
8441,0.199965596,0.694013835,-0.126797673,10.62129843
8466,0.225859821,0.746654354,-0.126797673,13.03745748
8517,0.225859821,0.746654354,-0.007975154,14.03276751
8561,0.250675119,0.797101518,-0.007975154,16.78804722
8693,0.250675119,0.797101518,-0.007975154,11.5433554
8714,0.250675119,0.797101518,-0.007975154,9.207668948
8754,0.250675119,0.797101518,-0.007975154,10.33354975
8776,0.250675119,0.797101518,-0.007975154,8.550976602
8799,0.250675119,0.797101518,-0.007975154,8.113333472
8838,0.250675119,0.797101518,0.100945489,12.51606855
8884,0.250675119,0.797101518,0.201152481,15.12526014
8926,0.274477549,0.700325326,0.201152481,18.3952655
8971,0.297327881,0.749681184,0.201152481,16.6974465
8996,0.197314118,0.657629947,0.201152481,19.02778325
9099,0.197314118,0.657629947,0.201152481,9.905501443
9117,0.197314118,0.657629947,0.201152481,7.52071001
9133,0.197314118,0.657629947,0.201152481,6.628147872
9157,0.197314118,0.657629947,0.201152481,5.020924262
9203,0.220769503,0.569119143,0.201152481,14.26560393
9233,0.243339779,0.618156861,0.201152481,11.32562058
9302,0.149882116,0.533655218,0.201152481,15.32972695
9327,0.059822913,0.452226362,0.201152481,17.49958697
9352,0.084058114,0.373705679,0.201152481,18.6675688
9387,0.084058114,0.373705679,0.083426785,13.19169458
9438,0.107442957,0.42273046,0.083426785,14.64851175
9465,0.022773699,0.347425937,0.083426785,17.13987206
9572,0.022773699,0.347425937,0.083426785,11.01843763
9604,0.022773699,0.347425937,0.083426785,14.6168015
9643,0.022773699,0.347425937,0.083426785,16.00988355
9677,0.022773699,0.347425937,0.083426785,14.44114298
9733,0.022773699,0.347425937,0.083426785,14.06419891
9781,0.022773699,0.347425937,0.083426785,11.24508198
9838,0.022773699,0.347425937,0.083426785,11.04807388
9899,0.022773699,0.347425937,0.083426785,11.76408638
9937,0.022773699,0.347425937,0.083426785,8.55896529
9970,0.022773699,0.347425937,0.083426785,8.132805259
10039,0.022773699,0.347425937,-0.02557849,10.49053521
10101,0.046404554,0.395234281,-0.02557849,10.936522
10129,0.069247714,0.441449013,-0.02557849,13.02039186
10155,0.091341918,0.486148508,-0.02557849,16.68515108
10180,0.112723405,0.41467947,-0.02557849,18.44066964
10215,0.112723405,0.41467947,-0.126797673,11.98834839
10273,0.133426116,0.458384847,-0.126797673,12.4224639
10325,0.133426116,0.458384847,-0.032559123,15.02210941
10458,0.133426116,0.458384847,-0.032559123,11.10421685
10479,0.133426116,0.458384847,-0.032559123,6.120911434
10526,0.133426116,0.458384847,-0.032559123,6.605795939
10556,0.133426116,0.458384847,-0.032559123,6.232538595
10602,0.153481866,0.50072443,-0.032559123,14.52101078
10628,0.153481866,0.50072443,0.055396857,15.10249378
10678,0.153481866,0.50072443,-0.03863903,19.05644435
10719,0.077222545,0.432329718,-0.03863903,15.58934599
10747,0.097522115,0.473781059,-0.03863903,16.53160502
10873,0.097522115,0.473781059,-0.03863903,11.48305719
10902,0.097522115,0.473781059,-0.03863903,8.065655828
10929,0.097522115,0.473781059,-0.03863903,5.792997418
10961,0.097522115,0.473781059,-0.03863903,8.803483206
10986,0.097522115,0.473781059,-0.03863903,6.371434036
11049,0.097522115,0.473781059,-0.126797673,13.17390143
0,-4.803374034,-3.94493188,-2.859715628,15.61252101
33,-4.803374034,-3.94493188,-0.126797673,12.25365474
64,1.416994155,3.168118217,-0.126797673,15.44181816
96,1.416994155,3.168118217,-0.126797673,19.61233579
116,-0.656461908,0.797101518,-0.126797673,19.57278772
168,-0.656461908,0.797101518,-0.126797673,13.32009631
189,-0.656461908,0.797101518,-0.126797673,9.777751817
211,-0.656461908,0.797101518,-0.126797673,6.798974007
229,-0.656461908,0.797101518,-0.126797673,1.341353129
295,-0.138097893,1.389855693,-0.126797673,14.8289028
329,-0.138097893,1.389855693,0.784174978,14.52885911
479,0.172920517,1.745508197,0.784174978,15.26699254
505,0.380266123,0.797101518,0.784174978,16.77283933
541,0.528370128,1.135818189,0.784174978,13.83468249
569,0.528370128,1.135818189,1.239661304,16.01721154
697,0.528370128,1.135818189,1.239661304,11.85130753
713,0.528370128,1.135818189,1.239661304,8.675742173
727,0.528370128,1.135818189,1.239661304,5.501308783
756,0.528370128,1.135818189,1.239661304,6.39074893
784,0.528370128,1.135818189,1.239661304,7.654919386
838,0.528370128,1.135818189,1.512953099,13.31536479
874,-0.138097893,0.50072443,1.512953099,17.04319928
893,-0.138097893,0.50072443,1.69514763,18.5425794
926,-0.656461908,0.006762618,1.69514763,22.35959359
1043,-0.656461908,0.006762618,1.69514763,13.78256476
1067,-0.656461908,0.006762618,1.69514763,10.77485959
1099,-0.656461908,0.006762618,1.69514763,11.81012875
1186,-0.656461908,0.006762618,1.69514763,15.38697937
1233,-0.656461908,0.006762618,1.69514763,12.57536868
1254,-0.656461908,0.006762618,1.69514763,9.675215358
1311,-0.656461908,0.006762618,1.69514763,5.872707752
1365,-0.656461908,0.006762618,1.69514763,10.73055194
1421,-0.656461908,0.006762618,1.69514763,7.501189969
1445,-0.656461908,0.006762618,1.69514763,10.31457509
1486,-0.656461908,0.006762618,1.69514763,11.44275082
1538,-0.449116302,-0.388406832,1.69514763,13.85677765
1579,-0.279469897,-0.065086373,1.69514763,11.85646492
1603,-0.656461908,-0.388406832,1.69514763,13.64560463
